"Parameter","Estimate","CI_Lower","CI_Upper"
"Shape",1.49001388137926,NA,NA
"Acceleration_Factor",0.859032142226641,0.803179317204688,0.918768954293716
"Hazard_Ratio",1.1641007953532,1.08841291962105,1.24505198102002
